"","coordenadas","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","media","predictLMLOG","predictRF","predictRFlog"
"201","-11,-73",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1
"202","-11,-74",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,2,0,1
"203","-11,-75",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,2,0,1
"204","-11,-76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,1,2,1,2
"205","-11,-77",0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,6,1,2,1,2
"206","-11,-78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1
"207","-11,-79",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1
"208","-11,110",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,1
"209","-11,111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1
"210","-11,112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1
"211","-11,113",0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,4,0,0,1,1,2,1,2
"212","-11,115",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"213","-11,116",0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,3,0,9,1,2,1,2
"214","-11,117",0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,5,1,1,0,1,2,1,2
"215","-11,118",0,0,0,0,0,0,0,0,2,3,0,1,0,0,1,1,1,1,1,1,2,1,2
"216","-11,119",0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,2,0,1,0,2,0,1
"217","-11,121",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,2,0,1
"218","-11,122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1
"219","-11,124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
"220","-11,125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1
"221","-11,129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1
"222","-11,160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
"223","-11,161",0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,28,2,7,2,2,2,3
"224","-11,162",0,0,0,0,0,0,1,3,0,2,3,0,0,1,2,1,49,4,9,4,2,4,5
"225","-11,163",0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,16,5,1,2,1,2
"226","-11,164",0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,19,5,0,1,2,2,2,2
"227","-11,165",0,0,0,0,0,0,0,0,1,15,0,16,2,6,5,98,4,3,2,8,3,7,6
"228","-11,166",0,0,0,0,0,0,0,3,5,12,3,15,9,5,4,21,12,9,11,6,3,6,7
"229","-11,167",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1
"230","-11,168",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1
"231","-11,34",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1
"232","-11,42",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1
"233","-11,66",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,2,0,1
"234","-11,78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"235","-11,89",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
"236","-12,-14",0,0,0,0,0,0,0,0,1,1,1,5,0,1,2,1,0,1,2,1,2,1,2
"237","-12,-174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
"238","-12,-176",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
"239","-12,-68",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"240","-12,-71",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,1
"241","-12,-72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
"242","-12,-73",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1
"243","-12,-74",0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,1
