;Coordenadas;RECENCIA;FRECUENCIA;MAGNITUD
937;-87,37;0;0;0
938;-87,38;0;0;0
939;-87,39;0;0;0
940;-87,40;0;0;0
941;-87,41;0;0;0
942;-87,42;0;0;0
943;-87,43;0;0;0
944;-87,44;0;0;0
945;-87,45;0;0;0
946;-87,46;0;0;0
947;-87,47;0;0;0
948;-87,48;0;0;0
949;-87,49;0;0;0
950;-87,50;0;0;0
951;-87,51;0;0;0
952;-87,52;0;0;0
953;-87,53;0;0;0
954;-87,54;0;0;0
955;-87,55;0;0;0
956;-87,56;0;0;0
957;-87,57;0;0;0
958;-87,58;0;0;0
959;-87,59;0;0;0
960;-87,60;0;0;0
961;-87,61;0;0;0
962;-87,62;0;0;0
963;-87,63;0;0;0
964;-87,64;0;0;0
965;-87,65;0;0;0
966;-87,66;0;0;0
967;-87,67;0;0;0
968;-87,68;0;0;0
969;-87,69;0;0;0
970;-87,70;0;0;0
971;-87,71;0;0;0
972;-87,72;0;0;0
973;-87,73;0;0;0
974;-87,74;0;0;0
975;-87,75;0;0;0
976;-87,76;0;0;0
977;-87,77;0;0;0
978;-87,78;0;0;0
979;-87,79;0;0;0
980;-87,80;0;0;0
981;-87,81;0;0;0
982;-87,82;0;0;0
983;-87,83;0;0;0
984;-87,84;0;0;0
985;-87,85;0;0;0
986;-87,86;0;0;0
987;-87,87;0;0;0
988;-87,88;0;0;0
989;-87,89;0;0;0
990;-87,90;0;0;0
991;-87,91;0;0;0
992;-87,92;0;0;0
993;-87,93;0;0;0
994;-87,94;0;0;0
995;-87,95;0;0;0
996;-87,96;0;0;0
997;-87,97;0;0;0
998;-87,98;0;0;0
999;-87,99;0;0;0
1000;-87,100;0;0;0
1001;-87,101;0;0;0
1002;-87,102;0;0;0
1003;-87,103;0;0;0
1004;-87,104;0;0;0
1005;-87,105;0;0;0
1006;-87,106;0;0;0
1007;-87,107;0;0;0
1008;-87,108;0;0;0
1009;-87,109;0;0;0
1010;-87,110;0;0;0
1011;-87,111;0;0;0
1012;-87,112;0;0;0
1013;-87,113;0;0;0
1014;-87,114;0;0;0
1015;-87,115;0;0;0
1016;-87,116;0;0;0
1017;-87,117;0;0;0
1018;-87,118;0;0;0
1019;-87,119;0;0;0
1020;-87,120;0;0;0
