"","coordenadas","RECENCIA","FRECUENCIA","MAGNITUD","Segmento"
"586","-2,110",191,1,4.7,5
"587","-2,118",241,1,4.5,5
"588","-2,119",492,8,4.75,3
"589","-2,120",731,4,4.375,3
"590","-2,121",17,8,4.4875,5
"591","-2,122",219,10,4.88,5
"592","-2,123",88,2,4.5,5
"593","-2,124",88,4,4.45,5
"594","-2,125",210,4,4.625,5
"595","-2,126",77,6,4.6,5
"596","-2,127",52,9,4.61111111111111,5
"597","-2,128",10,25,4.504,5
"598","-2,129",24,45,4.64,5
"599","-2,130",159,8,4.7625,5
"600","-2,132",322,1,4,3
"601","-2,133",19,6,4.88333333333333,5
"602","-2,134",81,6,4.4,5
"603","-2,135",802,2,4.9,6
"604","-2,136",35,9,4.66666666666667,5
"605","-2,137",1021,1,4.7,6
"606","-2,138",17,44,4.83636363636364,5
"607","-2,139",160,41,4.78292682926829,5
"608","-2,140",6,30,4.78,5
"609","-2,141",43,11,4.57272727272727,5
"610","-2,142",595,3,4.96666666666667,3
"611","-2,145",0,0,0,8
"612","-2,146",772,1,4.6,6
"613","-2,147",70,6,4.96666666666667,5
"614","-2,148",160,3,5.13333333333333,5
"615","-2,149",0,0,0,8
"616","-2,150",0,0,0,8
"617","-2,151",215,3,4.36666666666667,5
"618","-2,152",0,0,0,8
"619","-2,153",0,0,0,8
"620","-2,176",0,0,0,8
"621","-2,28",513,2,5.5,3
"622","-2,29",69,2,4.75,5
"623","-2,35",0,0,0,8
"624","-2,36",1308,2,4.65,7
"625","-2,67",281,3,5.03333333333333,5
"626","-2,68",359,8,4.8375,3
"627","-2,79",187,1,4.7,5
"628","-2,83",0,0,0,8
"629","-2,86",1049,1,4.5,6
"630","-2,97",0,0,0,8
"631","-2,98",0,0,0,8
"632","-2,99",110,9,4.74444444444444,5
"633","-20,-11",201,1,4.9,5
"634","-20,-113",0,0,0,8
"635","-20,-114",848,1,4.8,6
"636","-20,-172",54,1,4.8,5
"637","-20,-173",14,31,4.98064516129032,5
"638","-20,-174",58,29,5.14137931034483,5
"639","-20,-175",33,19,5.01578947368421,5
"640","-20,-176",136,13,5.03076923076923,5
"641","-20,-177",32,88,4.65454545454545,5
"642","-20,-178",6,129,4.77984496124031,4
